"Table 3.16  Treatment for mental or emotional problem, by age and sex",,,,,,,,
All adults,,,,2014,,,,
,Age,,,,,,,
Type of treatmenta,16-24,25-34,35-44,45-54,55-64,65-74,75+,All  
,%,%,%,%,%,%,%,%
Men,,,,,,,,
No treatment,96.8,91.8,89.2,88.2,86.3,90.6,90.4,90.4
Medication only,2.4,4.4,6.4,8.7,11.7,8.3,9.0,7.0
Counselling or therapy only,0.9,2.0,1.5,1.2,0.3,0.6,0.3,1.1
Both medication and counselling,-,1.8,2.9,1.9,1.7,0.6,0.3,1.5
Any medication,2.4,6.2,9.3,10.6,13.4,8.9,9.3,8.5
Any counselling or therapy,0.9,3.8,4.4,3.1,2.0,1.2,0.6,2.5
Any treatment ,3.2,8.2,10.8,11.8,13.7,9.4,9.6,9.6
CIS-R score meanb,3.9,5.1,5.0,4.8,5.1,3.2,2.9,4.4
,,,,,,,,
Women,,,,,,,,
No treatment,91.0,84.9,83.2,80.2,78.6,83.5,84.3,83.5
Medication only,4.2,9.2,12.9,16.8,18.7,14.8,15.0,13.0
Counselling or therapy only,3.5,3.1,1.9,1.2,2.0,1.2,0.3,1.9
Both medication and counselling,1.3,2.8,2.0,1.8,0.7,0.6,0.5,1.5
Any medication,5.5,12.0,14.9,18.6,19.5,15.3,15.5,14.5
Any counselling or therapy,4.8,5.9,3.9,3.0,2.7,1.7,0.8,3.4
Any treatment ,9.0,15.1,16.8,19.8,21.4,16.5,15.7,16.5
CIS-R score meanb,7.5,6.3,6.4,7.2,6.2,4.6,4.1,6.2
,,,,,,,,
All adults,,,,,,,,
No treatment,93.9,88.3,86.2,84.1,82.4,86.9,86.8,86.9
Medication only,3.3,6.8,9.7,12.8,15.3,11.6,12.5,10.1
Counselling or therapy only,2.2,2.5,1.7,1.2,1.2,0.9,0.3,1.5
Both medication and counselling,0.7,2.3,2.4,1.9,1.2,0.6,0.4,1.5
Any medication,3.9,9.1,12.1,14.7,16.5,12.2,12.9,11.6
Any counselling or therapy,2.8,4.9,4.1,3.1,2.3,1.5,0.7,3.0
Any treatment ,6.1,11.7,13.8,15.9,17.6,13.1,13.2,13.1
CIS-R score meanb,5.7,5.7,5.7,6.0,5.7,3.9,3.6,5.3
,,,,,,,,
Bases,,,,,,,,
Men,249,355,468,489,541,536,418,"3,056"
Women,311,680,712,805,685,650,642,"4,484"
All adults,560,"1,035","1,180","1,294","1,226","1,186","1,060","7,540"
a See the Glossary for details of types of treatments asked about. ,,,,,,,,
b See Section 2.2 for a description of the CIS-R.,,,,,,,,
,,,,,,,,
,,,,,,,,
"Source: APMS 2014, NHS Digital",,,,,,,,
,,,,,,,,
"Copyright ę 2016, Health and Social Care Information Centre.",,,,,,,,
